lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00485,0.00509,0.00510
0.20000,0.00419,0.00424,0.00509,0.00509
0.30000,0.00419,0.00480,0.00509,0.00501
0.40000,0.00419,0.00473,0.00509,0.00481
0.50000,0.00419,0.00448,0.00509,0.00534
0.60000,0.00419,0.00448,0.00509,0.00526
0.70000,0.00419,0.00478,0.00509,0.00514
0.80000,0.00419,0.00449,0.00509,0.00516
0.90000,0.00419,0.00474,0.00509,0.00516
1.00000,0.00419,0.00530,0.00509,0.00514
