lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02552,0.02420,0.02400
0.20000,0.02684,0.02355,0.02420,0.02367
0.30000,0.02684,0.02238,0.02420,0.02316
0.40000,0.02684,0.02070,0.02420,0.02269
0.50000,0.02684,0.01963,0.02420,0.02225
0.60000,0.02684,0.01942,0.02420,0.02178
0.70000,0.02684,0.01886,0.02420,0.02143
0.80000,0.02684,0.01840,0.02420,0.02134
0.90000,0.02684,0.01850,0.02420,0.02114
1.00000,0.02684,0.01824,0.02420,0.02099
