lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00221,0.00221
0.10000,0.00121,0.00176,0.00192,0.00266,0.00221,0.00287
0.20000,0.00121,0.00276,0.00192,0.00377,0.00221,0.00390
0.30000,0.00121,0.00322,0.00192,0.00427,0.00221,0.00436
0.40000,0.00121,0.00402,0.00192,0.00476,0.00221,0.00478
0.50000,0.00121,0.00556,0.00192,0.00599,0.00221,0.00604
0.60000,0.00121,0.00648,0.00192,0.00657,0.00221,0.00658
0.70000,0.00121,0.00745,0.00192,0.00744,0.00221,0.00743
0.80000,0.00121,0.00783,0.00192,0.00771,0.00221,0.00769
0.90000,0.00121,0.00803,0.00192,0.00800,0.00221,0.00797
1.00000,0.00121,0.00906,0.00192,0.00896,0.00221,0.00893
