lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02586,0.02455,0.02480
0.20000,0.02508,0.02633,0.02455,0.02503
0.30000,0.02508,0.02641,0.02455,0.02466
0.40000,0.02508,0.02601,0.02455,0.02490
0.50000,0.02508,0.02614,0.02455,0.02505
0.60000,0.02508,0.02666,0.02455,0.02512
0.70000,0.02508,0.02627,0.02455,0.02493
0.80000,0.02508,0.02612,0.02455,0.02482
0.90000,0.02508,0.02567,0.02455,0.02465
1.00000,0.02508,0.02566,0.02455,0.02465
