lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00221,0.00221
0.10000,0.00121,0.00216,0.00192,0.00259,0.00221,0.00282
0.20000,0.00121,0.00277,0.00192,0.00305,0.00221,0.00329
0.30000,0.00121,0.00342,0.00192,0.00363,0.00221,0.00392
0.40000,0.00121,0.00384,0.00192,0.00382,0.00221,0.00406
0.50000,0.00121,0.00352,0.00192,0.00372,0.00221,0.00393
0.60000,0.00121,0.00274,0.00192,0.00299,0.00221,0.00322
0.70000,0.00121,0.00278,0.00192,0.00287,0.00221,0.00321
0.80000,0.00121,0.00257,0.00192,0.00276,0.00221,0.00315
0.90000,0.00121,0.00279,0.00192,0.00287,0.00221,0.00326
1.00000,0.00121,0.00297,0.00192,0.00301,0.00221,0.00337
