lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01234,0.01231
0.10000,0.01125,0.01064,0.01000,0.00959,0.01234,0.01192
0.20000,0.01125,0.00956,0.01000,0.00873,0.01234,0.01112
0.30000,0.01125,0.00882,0.01000,0.00812,0.01234,0.01060
0.40000,0.01125,0.00805,0.01000,0.00732,0.01234,0.00989
0.50000,0.01125,0.00750,0.01000,0.00673,0.01234,0.00939
0.60000,0.01125,0.00696,0.01000,0.00627,0.01234,0.00895
0.70000,0.01125,0.00659,0.01000,0.00588,0.01234,0.00856
0.80000,0.01125,0.00601,0.01000,0.00543,0.01234,0.00812
0.90000,0.01125,0.00581,0.01000,0.00527,0.01234,0.00797
1.00000,0.01125,0.00572,0.01000,0.00510,0.01234,0.00783
