lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01234,0.01231
0.10000,0.01125,0.01085,0.01000,0.00986,0.01234,0.01218
0.20000,0.01125,0.01036,0.01000,0.00951,0.01234,0.01189
0.30000,0.01125,0.00966,0.01000,0.00901,0.01234,0.01146
0.40000,0.01125,0.00891,0.01000,0.00846,0.01234,0.01094
0.50000,0.01125,0.00826,0.01000,0.00803,0.01234,0.01055
0.60000,0.01125,0.00788,0.01000,0.00772,0.01234,0.01027
0.70000,0.01125,0.00737,0.01000,0.00726,0.01234,0.00989
0.80000,0.01125,0.00694,0.01000,0.00690,0.01234,0.00958
0.90000,0.01125,0.00692,0.01000,0.00689,0.01234,0.00960
1.00000,0.01125,0.00697,0.01000,0.00695,0.01234,0.00961
