lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02430,0.02455,0.02432
0.20000,0.02508,0.02294,0.02455,0.02400
0.30000,0.02508,0.02163,0.02455,0.02313
0.40000,0.02508,0.02063,0.02455,0.02214
0.50000,0.02508,0.01949,0.02455,0.02082
0.60000,0.02508,0.01800,0.02455,0.01978
0.70000,0.02508,0.01734,0.02455,0.01884
0.80000,0.02508,0.01673,0.02455,0.01801
0.90000,0.02508,0.01602,0.02455,0.01734
1.00000,0.02508,0.01594,0.02455,0.01678
