lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00997,0.01000,0.00997
0.10000,0.01125,0.01064,0.01000,0.00962,0.01000,0.00962
0.20000,0.01125,0.00961,0.01000,0.00890,0.01000,0.00890
0.30000,0.01125,0.00920,0.01000,0.00863,0.01000,0.00863
0.40000,0.01125,0.00874,0.01000,0.00828,0.01000,0.00828
0.50000,0.01125,0.00860,0.01000,0.00822,0.01000,0.00822
0.60000,0.01125,0.00853,0.01000,0.00818,0.01000,0.00818
0.70000,0.01125,0.00858,0.01000,0.00820,0.01000,0.00820
0.80000,0.01125,0.00836,0.01000,0.00807,0.01000,0.00807
0.90000,0.01125,0.00833,0.01000,0.00809,0.01000,0.00809
1.00000,0.01125,0.00832,0.01000,0.00807,0.01000,0.00807
