lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00997,0.01000,0.00997
0.10000,0.01125,0.01085,0.01000,0.00984,0.01000,0.00984
0.20000,0.01125,0.01050,0.01000,0.00959,0.01000,0.00959
0.30000,0.01125,0.01016,0.01000,0.00938,0.01000,0.00938
0.40000,0.01125,0.00985,0.01000,0.00916,0.01000,0.00916
0.50000,0.01125,0.00976,0.01000,0.00906,0.01000,0.00906
0.60000,0.01125,0.00965,0.01000,0.00904,0.01000,0.00904
0.70000,0.01125,0.00950,0.01000,0.00894,0.01000,0.00894
0.80000,0.01125,0.00933,0.01000,0.00882,0.01000,0.00882
0.90000,0.01125,0.00923,0.01000,0.00878,0.01000,0.00878
1.00000,0.01125,0.00926,0.01000,0.00880,0.01000,0.00880
