lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00997,0.01000,0.00997
0.10000,0.01125,0.01164,0.01000,0.01033,0.01000,0.01033
0.20000,0.01125,0.01198,0.01000,0.01071,0.01000,0.01071
0.30000,0.01125,0.01208,0.01000,0.01081,0.01000,0.01081
0.40000,0.01125,0.01222,0.01000,0.01093,0.01000,0.01093
0.50000,0.01125,0.01218,0.01000,0.01086,0.01000,0.01086
0.60000,0.01125,0.01211,0.01000,0.01080,0.01000,0.01080
0.70000,0.01125,0.01187,0.01000,0.01061,0.01000,0.01061
0.80000,0.01125,0.01202,0.01000,0.01076,0.01000,0.01076
0.90000,0.01125,0.01181,0.01000,0.01050,0.01000,0.01050
1.00000,0.01125,0.01164,0.01000,0.01039,0.01000,0.01039
